Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-08-20,10.050000190734863,10.470000267028809,9.850000381469727,9.949999809265137,157800,0,0
2020-08-21,9.9399995803833,9.979999542236328,9.899999618530273,9.979999542236328,192600,0,0
2020-08-24,10.0,10.114999771118164,9.899999618530273,9.970000267028809,50600,0,0
2020-08-25,9.949999809265137,10.010000228881836,9.850000381469727,10.010000228881836,257700,0,0
2020-08-26,9.90999984741211,10.050000190734863,9.90999984741211,9.970000267028809,4600,0,0
2020-08-27,9.989999771118164,9.989999771118164,9.91100025177002,9.954999923706055,9200,0,0
2020-08-28,9.90999984741211,10.050000190734863,9.90999984741211,10.0,597800,0,0
2020-08-31,10.079999923706055,10.180000305175781,9.899999618530273,10.0,7500,0,0
2020-09-01,10.100000381469727,10.135000228881836,9.960000038146973,10.109999656677246,281200,0,0
2020-09-02,10.210000038146973,10.720000267028809,10.050000190734863,10.270000457763672,443800,0,0
2020-09-03,10.350000381469727,10.4399995803833,10.149999618530273,10.319999694824219,282800,0,0
2020-09-04,10.479999542236328,10.479999542236328,10.25,10.34000015258789,139800,0,0
2020-09-08,10.5,10.569999694824219,10.300000190734863,10.420000076293945,321300,0,0
2020-09-09,10.5,10.5,10.300000190734863,10.399999618530273,350400,0,0
2020-09-10,10.5,10.5,10.300000190734863,10.319999694824219,59900,0,0
2020-09-11,10.329999923706055,10.5,10.300000190734863,10.390000343322754,116100,0,0
2020-09-14,10.350000381469727,10.498000144958496,10.300000190734863,10.380000114440918,65000,0,0
2020-09-15,10.319999694824219,10.6850004196167,10.319999694824219,10.527999877929688,353000,0,0
2020-09-16,10.5600004196167,10.600000381469727,10.460000038146973,10.5,54200,0,0
2020-09-17,10.5,10.600000381469727,10.350000381469727,10.4350004196167,56900,0,0
2020-09-18,10.359999656677246,11.029999732971191,10.359999656677246,11.029999732971191,84400,0,0
2020-09-21,10.600000381469727,10.845000267028809,10.4399995803833,10.699999809265137,571300,0,0
2020-09-22,10.75,10.75,10.432999610900879,10.649999618530273,69800,0,0
2020-09-23,10.520000457763672,10.649999618530273,10.449999809265137,10.649999618530273,68500,0,0
2020-09-24,10.350000381469727,10.720000267028809,10.350000381469727,10.6899995803833,286100,0,0
2020-09-25,10.420000076293945,10.699999809265137,10.350000381469727,10.600000381469727,190800,0,0
2020-09-28,10.579999923706055,10.8100004196167,10.5,10.619999885559082,19200,0,0
2020-09-29,10.649999618530273,10.970000267028809,10.449999809265137,10.850000381469727,415400,0,0
2020-09-30,10.850000381469727,11.069999694824219,10.6899995803833,10.760000228881836,105000,0,0
2020-10-01,10.760000228881836,10.850000381469727,10.59000015258789,10.619999885559082,173200,0,0
2020-10-02,10.5,10.710000038146973,10.5,10.520000457763672,136300,0,0
2020-10-05,10.574999809265137,10.649999618530273,10.460000038146973,10.470000267028809,93800,0,0
2020-10-06,10.550000190734863,10.550000190734863,10.300000190734863,10.380000114440918,94300,0,0
2020-10-07,10.449999809265137,10.5,10.300000190734863,10.350000381469727,81400,0,0
2020-10-08,10.40999984741211,10.460000038146973,10.199999809265137,10.329999923706055,151800,0,0
2020-10-09,10.300000190734863,10.300000190734863,10.140000343322754,10.27400016784668,1446700,0,0
2020-10-12,10.300000190734863,10.3100004196167,10.25,10.300000190734863,79100,0,0
2020-10-13,10.460000038146973,10.460000038146973,10.210000038146973,10.293999671936035,85000,0,0
2020-10-14,10.3100004196167,10.364999771118164,10.229999542236328,10.300000190734863,73300,0,0
2020-10-15,10.300000190734863,10.300000190734863,10.260000228881836,10.300000190734863,21200,0,0
2020-10-16,10.359999656677246,10.359999656677246,10.199999809265137,10.300000190734863,24900,0,0
2020-10-19,10.34000015258789,10.40999984741211,10.25,10.270000457763672,44900,0,0
2020-10-20,10.380000114440918,10.380000114440918,10.260000228881836,10.260000228881836,341100,0,0
2020-10-21,10.260000228881836,10.300000190734863,10.25,10.25,17500,0,0
2020-10-22,10.25,10.25,10.149999618530273,10.220000267028809,43300,0,0
2020-10-23,10.25,10.270000457763672,10.119999885559082,10.149999618530273,129700,0,0
2020-10-26,10.100000381469727,10.149999618530273,10.029999732971191,10.0649995803833,59300,0,0
2020-10-27,10.15999984741211,10.15999984741211,9.9399995803833,10.0,155800,0,0
2020-10-28,9.899999618530273,10.09000015258789,9.890000343322754,9.890000343322754,1465500,0,0
2020-10-29,9.960000038146973,9.960000038146973,9.890000343322754,9.920000076293945,54200,0,0
2020-10-30,9.949999809265137,9.949999809265137,9.880000114440918,9.949999809265137,35100,0,0
2020-11-02,10.0,10.010000228881836,9.890000343322754,9.920000076293945,155800,0,0
2020-11-03,9.9399995803833,9.965999603271484,9.90999984741211,9.949999809265137,41300,0,0
2020-11-04,9.949999809265137,10.0600004196167,9.869999885559082,9.979999542236328,20200,0,0
2020-11-05,10.119999885559082,10.119999885559082,9.989999771118164,10.029999732971191,17300,0,0
2020-11-06,10.050000190734863,10.050000190734863,9.9399995803833,10.0,26300,0,0
2020-11-09,10.15999984741211,10.220000267028809,10.0,10.0,72400,0,0
